"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"1060351-10","","堀立(1)","","33.27502","130.33734","1060351-10","","0","1060351","",""
"1060350-10","","瓦町(1)","","33.27224","130.334","1060350-10","","0","1060350","",""
"1060349-10","","瓦町南(1)","","33.26955","130.33107","1060349-10","","0","1060349","",""
"1060348-10","","中牟田(1)","","33.26669","130.32797","1060348-10","","0","1060348","",""
"1060347-01","","修理田(1)","","33.26431","130.32245","1060347-01","","0","1060347","",""
"1060346-10","","佐賀中部病院前(1)","","33.26375","130.31918","1060346-10","","0","1060346","",""
"1056305-10","","下村河畔(1)","","33.26313","130.31523","1056305-10","","0","1056305","",""
"1056304-10","","大財六丁目(1)","","33.26221","130.31102","1056304-10","","0","1056304","",""
"1056303-10","","大財五丁目(1)","","33.26163","130.30818","1056303-10","","0","1056303","",""
"1050278-20","","神野公民館前(2)","","33.26372","130.29018","1050278-20","","0","1050278","",""
"1050279-20","","昭和橋(2)","","33.26288","130.28442","1050279-20","","0","1050279","",""
"1050280-20","","神野公園(2)","","33.2647","130.2818","1050280-20","","0","1050280","",""
"1050281-20","","八戸溝郵便局前(2)","","33.26477","130.27794","1050281-20","","0","1050281","",""
"1050282-20","","鍋島団地(2)","","33.266","130.27638","1050282-20","","0","1050282","",""
"1050283-20","","鍋島新村(2)","","33.26877","130.27585","1050283-20","","0","1050283","",""
"1050284-20","","ＪＡ佐賀市せいぶ支所前(2)","","33.2719","130.27539","1050284-20","","0","1050284","",""
"1050285-20","","鍋島小学校前(2)","","33.27338","130.27078","1050285-20","","0","1050285","",""
"1050286-20","","鍋島一丁目(2)","","33.2757","130.2706","1050286-20","","0","1050286","",""
"1050287-20","","津留(2)","","33.27883","130.26991","1050287-20","","0","1050287","",""
"1050295-20","","医学部入口(2)","","33.28187","130.26909","1050295-20","","0","1050295","",""
"1050296-00","","佐賀大学病院","","33.2835","130.26709","1050296-00","","0","1050296","",""
"1050295-10","","医学部入口(1)","","33.28265","130.26884","1050295-10","","0","1050295","",""
"1050287-10","","津留(1)","","33.27949","130.26993","1050287-10","","0","1050287","",""
"1050286-10","","鍋島一丁目(1)","","33.2756","130.27065","1050286-10","","0","1050286","",""
"1050285-10","","鍋島小学校前(1)","","33.27367","130.2709","1050285-10","","0","1050285","",""
"1050284-10","","ＪＡ佐賀市せいぶ支所前(1)","","33.27179","130.27553","1050284-10","","0","1050284","",""
"1050283-10","","鍋島新村(1)","","33.26885","130.27589","1050283-10","","0","1050283","",""
"1050282-10","","鍋島団地(1)","","33.26589","130.27649","1050282-10","","0","1050282","",""
"1050281-10","","八戸溝郵便局前(1)","","33.26486","130.27818","1050281-10","","0","1050281","",""
"1050280-10","","神野公園(1)","","33.26483","130.28218","1050280-10","","0","1050280","",""
"1050279-10","","昭和橋(1)","","33.263","130.2841","1050279-10","","0","1050279","",""
"1050278-10","","神野公民館前(1)","","33.26375","130.28925","1050278-10","","0","1050278","",""
"1030219-03","","堀江通(3)","","33.26395","130.29208","1030219-03","","0","1030219","",""
"1050288-20","","鍋島シェスト前(2)","","33.28006","130.26875","1050288-20","","0","1050288","",""
"1050289-20","","鍋島西団地(2)","","33.27979","130.2648","1050289-20","","0","1050289","",""
"1050290-20","","医学部西(2)","","33.2834","130.26315","1050290-20","","0","1050290","",""
"1050291-20","","鍋島五丁目(2)","","33.28678","130.26314","1050291-20","","0","1050291","",""
"1050292-10","","鍋島本村(1)","","33.28828","130.26389","1050292-10","","0","1050292","",""
"1050293-20","","鍋島六丁目(2)","","33.2884","130.26564","1050293-20","","0","1050293","",""
"1050294-20","","医学部北(2)","","33.28627","130.26839","1050294-20","","0","1050294","",""
"1050294-10","","医学部北(1)","","33.28671","130.26825","1050294-10","","0","1050294","",""
"1050293-10","","鍋島六丁目(1)","","33.28833","130.2661","1050293-10","","0","1050293","",""
"1050292-20","","鍋島本村(2)","","33.28822","130.26437","1050292-20","","0","1050292","",""
"1050291-10","","鍋島五丁目(1)","","33.286594","130.263202","1050291-10","","0","1050291","",""
"1050290-10","","医学部西(1)","","33.28292","130.26328","1050290-10","","0","1050290","",""
"1050289-10","","鍋島西団地(1)","","33.27991","130.26523","1050289-10","","0","1050289","",""
"1050288-10","","鍋島シェスト前(1)","","33.28013","130.26846","1050288-10","","0","1050288","",""
"1011039-06","","片田江(6)[片田江西]","","33.251407","130.305366","1011039-06","","0","1011039","",""
"1020092-00","","水ヶ江大通り","","33.24954","130.30637","1020092-00","","0","1020092","",""
"1020093-10","","大隈重信記念館入口(1)","","33.24824","130.306808","1020093-10","","0","1020093","",""
"1020094-20","","竜校前(2)","","33.24588","130.30806","1020094-20","","0","1020094","",""
"1020095-10","","横小路(1)","","33.244397","130.308375","1020095-10","","0","1020095","",""
"1020096-01","","大崎(1)","","33.24174","130.31029","1020096-01","","0","1020096","",""
"1020097-20","","自動車学校前(2)","","33.23967","130.31569","1020097-20","","0","1020097","",""
"1020098-20","","南佐賀(2)","","33.23875","130.31766","1020098-20","","0","1020098","",""
"1020099-20","","東高校前(2)","","33.23731","130.32088","1020099-20","","0","1020099","",""
"1024156-20","","博物館前(2)","","33.24509","130.3015","1024156-20","","0","1024156","",""
"1025170-20","","袋入口(2)","","33.23743","130.30188","1025170-20","","0","1025170","",""
"1064370-20","","東与賀イオン前(2)","","33.22169","130.3064","1064370-20","","0","1064370","",""
"1064371-20","","小々森北(2)","","33.19732","130.30363","1064371-20","","0","1064371","",""
"1006035-01","","佐賀駐屯地(2)","","33.156292","130.299443","1006035-01","","0","1006035","",""
"1001001-20","","佐賀空港(2)","","33.15367","130.30376","1001001-20","","0","1001001","",""
"1006035-02","","佐賀駐屯地(1)","","33.156164","130.299446","1006035-02","","0","1006035","",""
"1064371-10","","小々森北(1)","","33.19731","130.30348","1064371-10","","0","1064371","",""
"1064370-10","","東与賀イオン前(1)","","33.22163","130.3062","1064370-10","","0","1064370","",""
"1025170-10","","袋入口(1)","","33.23769","130.30173","1025170-10","","0","1025170","",""
"1024156-10","","博物館前(1)","","33.24504","130.30141","1024156-10","","0","1024156","",""
"1001001-10","","佐賀空港(1)","","33.15378","130.30281","1001001-10","","0","1001001","",""
"1056306-20","","佐賀中部病院西(2)","","33.264","130.31702","1056306-20","","0","1056306","",""
"1056307-20","","東中野(2)","","33.26653","130.31575","1056307-20","","0","1056307","",""
"1056308-20","","兵庫小学校西(2)","","33.271512","130.317634","1056308-20","","0","1056308","",""
"1056309-00","","下渕南","","33.2736","130.31734","1056309-00","","0","1056309","",""
"1056310-00","","下渕","","33.27771","130.31651","1056310-00","","0","1056310","",""
"1056311-00","","妙常寺前","","33.28048","130.31544","1056311-00","","0","1056311","",""
"1056312-00","","うえむら病院前","","33.28223","130.31462","1056312-00","","0","1056312","",""
"1056313-20","","兵庫団地前(2)","","33.28438","130.31471","1056313-20","","0","1056313","",""
"1056314-00","","初町","","33.28874","130.31458","1056314-00","","0","1056314","",""
"1056315-00","","東渕","","33.29063","130.31419","1056315-00","","0","1056315","",""
"1056316-00","","渕頭","","33.29187","130.31374","1056316-00","","0","1056316","",""
"1056317-20","","かささぎの里前(2)","","33.30112","130.31317","1056317-20","","0","1056317","",""
"1056318-20","","徳永(2)","","33.30288","130.31419","1056318-20","","0","1056318","",""
"0000003-01","","きりんむら(2)","","33.30484","130.315321","0000003-01","","0","0000003","",""
"1056319-20","","白鬚神社前(2)","","33.30373","130.31888","1056319-20","","0","1056319","",""
"1056320-20","","村徳永(2)","","33.30809","130.31906","1056320-20","","0","1056320","",""
"1056321-20","","工業団地事務所前(2)","","33.31185","130.31859","1056321-20","","0","1056321","",""
"1056322-20","","久保泉工業団地西(2)","","33.31261","130.31964","1056322-20","","0","1056322","",""
"1056323-00","","久保泉工業団地","","33.31266","130.32291","1056323-00","","0","1056323","",""
"1056322-10","","久保泉工業団地西(1)","","33.31247","130.31967","1056322-10","","0","1056322","",""
"1056321-10","","工業団地事務所前(1)","","33.3112","130.31876","1056321-10","","0","1056321","",""
"1056320-10","","村徳永(1)","","33.30783","130.31924","1056320-10","","0","1056320","",""
"1056319-10","","白鬚神社前(1)","","33.30376","130.31834","1056319-10","","0","1056319","",""
"0000003-02","","きりんむら(1)","","33.30479","130.315401","0000003-02","","0","0000003","",""
"1056318-10","","徳永(1)","","33.30281","130.31404","1056318-10","","0","1056318","",""
"1056317-10","","かささぎの里前(1)","","33.30116","130.31329","1056317-10","","0","1056317","",""
"1056313-10","","兵庫団地前(1)","","33.28435","130.31482","1056313-10","","0","1056313","",""
"1056308-10","","兵庫小学校西(1)","","33.271545","130.317757","1056308-10","","0","1056308","",""
"1056307-10","","東中野(1)","","33.26635","130.31604","1056307-10","","0","1056307","",""
"1056306-10","","佐賀中部病院西(1)","","33.26427","130.31714","1056306-10","","0","1056306","",""
"1030218-02","","佐賀駅北口(2)","","33.26554","130.29716","1030218-02","","0","1030218","",""
"1036265-20","","九電工前(2)","","33.26682","130.29521","1036265-20","","0","1036265","",""
"1036266-20","","電通通り(2)","","33.26617","130.29106","1036266-20","","0","1036266","",""
"1036267-20","","真生幼稚園前(2)","","33.26627","130.28728","1036267-20","","0","1036267","",""
"1036268-20","","神野西四丁目(2)","","33.26844","130.28697","1036268-20","","0","1036268","",""
"1051297-20","","西九大神園南(2)","","33.26943","130.28459","1051297-20","","0","1051297","",""
"1051298-20","","常盤団地入口(2)","","33.2689","130.28163","1051298-20","","0","1051298","",""
"1051299-20","","鍋島東団地(2)","","33.26871","130.28021","1051299-20","","0","1051299","",""
"1051300-20","","開成三丁目(2)","","33.26971","130.27791","1051300-20","","0","1051300","",""
"1051301-20","","アルタ開成店東(2)","","33.2716","130.27756","1051301-20","","0","1051301","",""
"1051302-10","","卸センター前(1)","","33.27259","130.27696","1051302-10","","0","1051302","",""
"1051301-10","","アルタ開成店東(1)","","33.27168","130.27766","1051301-10","","0","1051301","",""
"1051300-10","","開成三丁目(1)","","33.26984","130.27797","1051300-10","","0","1051300","",""
"1051299-10","","鍋島東団地(1)","","33.26874","130.28003","1051299-10","","0","1051299","",""
"1051298-10","","常盤団地入口(1)","","33.26897","130.281279","1051298-10","","0","1051298","",""
"1051297-10","","西九大神園南(1)","","33.26961","130.28505","1051297-10","","0","1051297","",""
"1036268-10","","神野西四丁目(1)","","33.26825","130.28706","1036268-10","","0","1036268","",""
"1036267-10","","真生幼稚園前(1)","","33.26582","130.28799","1036267-10","","0","1036267","",""
"1036266-10","","電通通り(1)","","33.26625","130.29097","1036266-10","","0","1036266","",""
"1036265-10","","九電工前(1)","","33.26694","130.29567","1036265-10","","0","1036265","",""
"1030218-01","","佐賀駅北口(1)","","33.26532","130.29736","1030218-01","","0","1030218","",""
"1001002-05","","佐賀駅バスセンター 5番のりば","","33.264317","130.299013","1001002-05","","0","1001002","",""
"1018074-20","","長瀬町(2)","","33.247879","130.282472","1018074-20","","0","1018074","",""
"1018075-20","","地蔵前(2)","","33.246404","130.27735","1018075-20","","0","1018075","",""
"1018076-20","","普門寺(2)","","33.245706","130.274086","1018076-20","","0","1018076","",""
"1018077-20","","高橋(2)","","33.245314","130.272213","1018077-20","","0","1018077","",""
